"","X","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"1","result.1",100141273,349927,1668,411,2241,0,0
"2","result.2",141602484,653308,5076,288,2001,0,0
"3","result.3",180916954,1160049,13505,4183,5134,29,0
"4","result.4",126908007,369552,3385,924,3243,17,0
"5","result.5",112882565,412142,5771,1243,1697,0,0
"6","result.6",126907302,632027,6292,2728,5633,88,0
"7","result.7",117298988,723646,4128,1804,3541,0,0
"8","result.8",100149109,208537,2239,228,855,0,0
"9","result.9",100141599,448756,4886,2657,1212,0,0
"10","result.10",100141219,149232,1779,1503,1955,0,0
"11","result.11",112373830,325511,8748,3584,836,2,0
"12","result.12",139426984,371841,3506,1338,1256,0,0
"13","result.13",112596790,754973,7542,1111,3708,2,0
"14","result.14",100140756,371039,9072,1246,1502,27,0
"15","result.15",100141563,301962,1638,302,1680,2,0
"16","result.16",100141780,782667,13882,862,1693,0,0
"17","result.17",126909424,587615,10329,945,2800,11,0
"18","result.18",127084296,885434,18057,1561,3084,0,0
"19","result.19",180720175,1054996,9167,2770,8779,143,0
"20","result.20",272697944,289672,1645,738,3745,0,0
"21","result.21",100141454,421052,2318,271,1024,0,0
"22","result.22",112670853,502068,32340,861,2853,0,0
"23","result.23",112952510,995505,6526,575,2639,3,0
"24","result.24",141603190,920461,7885,1009,1639,0,0
"25","result.25",157710335,618210,14237,1958,1210,0,0
"26","result.26",180709942,796646,12535,965,6869,0,0
"27","result.27",180719293,921906,12160,1253,8802,7,0
"28","result.28",112162251,278011,1972,998,1672,0,0
"29","result.29",112373124,154433,2070,567,506,0,0
"30","result.30",100141473,250228,1771,1447,1779,0,0
"31","result.31",100142655,614163,7712,1373,1701,3,0
"32","result.32",112951804,949588,33626,3825,3690,0,0
"33","result.33",127866392,592548,18960,1806,1741,0,0
"34","result.34",112791318,518084,4589,1647,3767,0,0
"35","result.35",112935169,503930,3954,1405,2046,10,0
"36","result.36",114292355,495510,2871,1108,3342,17,0
"37","result.37",100149969,267562,3131,739,2090,0,0
