"","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"result.1",584903636,569268,11669,131,3088,0,0
"result.2",585025284,462944,6011,318,1719,0,0
"result.3",585026021,346463,10367,2416,2617,234,0
"result.4",585051446,382702,18624,2096,2320,100,0
"result.5",626107114,191161,7763,2029,2840,54,0
"result.6",638314843,99263,12837,1114,6283,6,0
"result.7",640081415,690265,21273,3725,1997,0,0
"result.8",640282128,172630,6032,99,4390,0,0
"result.9",640285199,122487,22008,1077,398,0,0
"result.10",642967852,781086,8069,3722,1611,0,0
