"","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"result.1",100141273,109281,199,8,1453,0,0
"result.2",141602484,256115,230,22,1283,0,0
"result.3",180916954,494330,1698,821,3698,0,0
"result.4",126908007,131397,341,286,2351,0,0
"result.5",112882565,105595,319,54,1074,0,0
"result.6",126907302,221394,896,486,4140,0,0
"result.7",117298988,276116,584,591,2535,0,0
"result.8",100149109,49498,28,0,405,0,0
"result.9",100141599,175840,316,633,767,0,0
"result.10",100141219,48600,73,303,1262,0,0
"result.11",112373830,89114,942,654,462,0,0
"result.12",139426984,112603,278,108,750,0,0
"result.13",112596790,335132,1094,492,2488,0,0
"result.14",100140756,99229,184,44,981,1,0
"result.15",100141563,92646,91,9,1053,0,0
"result.16",100141780,418969,2177,180,1076,0,0
"result.17",126909424,219751,594,185,1973,0,0
"result.18",127084296,344277,1197,259,2242,0,0
"result.19",180720175,409696,1693,558,6864,13,0
"result.20",272697944,94367,108,291,2310,0,0
"result.21",100141454,96638,125,0,574,0,0
"result.22",112670853,213217,10230,383,1938,0,0
"result.23",112952510,360746,794,7,1826,0,0
"result.24",141603190,344713,548,7,1048,0,0
"result.25",157710335,263367,631,104,753,0,0
"result.26",180709942,441577,3128,382,5404,0,0
"result.27",180719293,528926,3528,529,7029,0,0
"result.28",112162251,83978,134,430,651,0,0
"result.29",112373124,32584,99,99,236,0,0
"result.30",100141473,56624,57,19,1134,0,0
"result.31",100142655,198759,491,43,1075,0,0
"result.32",112951804,313916,1804,571,2660,0,0
"result.33",127866392,165949,894,86,1047,0,0
"result.34",112791318,164803,549,103,2792,0,0
"result.35",112935169,162099,882,183,1396,0,0
"result.36",114292355,147419,911,132,2472,0,0
"result.37",100149969,89420,305,255,1172,0,0
"result.38",112936582,161796,344,574,1088,0,0
"result.39",114290938,163098,709,713,2394,0,0
"result.40",157654817,195411,1493,695,831,1,0
"result.41",180717881,325567,1942,1151,6627,0,0
"result.42",112229814,118684,352,0,1135,0,0
"result.43",148964212,3154,138,0,203,0,0
"result.44",180718587,282472,950,200,6606,0,0
"result.45",100141495,77585,257,56,773,0,0
"result.46",126852363,171421,707,364,2634,0,0
"result.47",112514915,323468,512,499,1806,0,0
"result.48",113036264,312765,20843,1397,3618,0,0
"result.49",174360333,71880,175,580,1358,0,0
"result.50",180404418,1350,40,3,31,0,0
"result.51",174361746,213584,610,73,2814,0,0
"result.52",180074890,458539,231,18,2926,0,0
"result.53",180436360,766043,1998,680,7335,0,0
"result.54",180917660,549765,2143,299,8597,0,0
"result.55",139519496,49333,18,4,678,0,0
"result.56",158314278,185429,548,305,1905,0,0
"result.57",116903230,32723,22,1,504,0,0
"result.58",120491896,59376,263,10,572,0,0
"result.59",146858006,126303,816,345,716,0,0
"result.60",115958825,204433,479,536,1332,0,0
"result.61",180073473,14137,4,10,519,0,0
"result.62",112881858,69901,86,18,755,0,0
"result.63",120437703,146531,171,247,689,0,0
"result.64",100148503,106175,113,221,532,0,0
"result.65",126861679,206895,805,772,1046,0,0
"result.66",114250546,116555,1404,856,803,0,0
"result.67",116903968,111078,58,448,1074,0,0
"result.68",146858755,78810,605,736,389,0,0
"result.69",307295727,152020,376,583,3489,0,0
"result.70",100147853,26624,153,159,421,0,0
"result.71",113887162,152429,1077,1072,2687,0,0
"result.72",113887868,73456,1458,254,2028,12,0
"result.73",126862385,64207,839,308,1295,2,0
"result.74",127138787,107135,1261,826,1306,2,0
"result.75",174361040,21146,951,115,831,21,0
"result.76",180296424,248274,1865,1771,5443,0,0
"result.77",272782668,41169,961,230,1468,0,0
"result.78",277616630,14522,250,133,379,0,0
"result.79",277712166,8010,137,162,202,0,0
"result.80",277713580,8942,278,76,295,0,0
"result.81",277714322,15362,66,94,281,0,0
"result.82",304564721,11067,20,56,463,0,0
"result.83",304565427,43113,50,169,1375,0,0
"result.84",304585910,6684,1502,100,508,0,0
"result.85",304586645,41351,56,285,1275,0,0
"result.86",304762965,4384,12,57,375,0,0
"result.87",307137980,141071,659,1016,3204,0,0
"result.88",307296433,99491,693,519,5271,0,0
"result.89",307297141,113064,749,1001,4425,0,0
"result.90",307320960,102259,726,450,3404,0,0
"result.91",307321674,130754,466,803,5404,0,0
"result.92",307557934,81407,147,265,3429,0,0
"result.93",307558646,160379,466,1365,7070,0,0
"result.94",307593747,107334,866,583,3451,0,0
"result.95",307743253,142184,389,839,3773,0,0
"result.96",309003780,74829,215,413,2028,0,0
"result.97",309004492,177646,405,880,7278,0,0
"result.98",309113907,143104,208,703,5260,0,0
"result.99",309372716,170103,633,945,6087,0,0
"result.100",272916202,2424,349,15,171,0,0
"result.101",146077302,69055,379,440,341,0,0
"result.102",100141796,252573,1714,1481,1097,0,0
"result.103",127089669,213604,2175,1079,2349,72,0
"result.104",157062358,42832,455,49,417,0,0
"result.105",112458114,144766,208,30,767,0,0
"result.106",146593590,261265,1270,686,1073,0,0
"result.107",112514202,212865,142,142,1353,0,0
"result.108",139520203,87543,113,197,726,0,0
"result.109",157711748,82391,436,7,816,0,0
"result.110",157556400,161849,1375,161,714,0,0
"result.111",112306316,373685,262,254,2005,0,0
"result.112",170721670,258981,701,207,1484,0,0
"result.113",180673746,90266,194,139,867,0,0
"result.114",180709230,340263,1261,409,5316,2,0
"result.115",126860974,180041,193,99,1745,0,0
"result.116",112423392,123237,3,179,650,0,0
"result.117",158435116,44950,21,41,655,0,0
"result.118",272737914,65299,422,9,1483,0,0
"result.119",112229103,34792,3,192,198,0,0
"result.120",112424813,17846,292,118,158,0,0
"result.121",272916915,39879,659,272,583,0,0
"result.122",100140949,138880,924,270,1119,0,0
"result.123",100148142,134694,757,356,753,0,0
"result.124",112595376,61415,1171,345,493,0,0
"result.125",180403712,7097,10,0,266,0,0
"result.126",180435652,799190,1270,1995,7195,0,0
"result.127",100141222,13410,38,0,1604,0,0
"result.128",272918345,2415,41,11,264,0,0
"result.129",120812686,23508,1013,0,1798,0,0
"result.130",113443572,99670,90,0,859,0,0
"result.131",121509711,137337,262,1,1456,0,0
"result.132",114755099,161397,335,0,1656,2,0
"result.133",133286030,185182,696,7,1250,0,0
"result.134",141601779,660,6,0,0,0,0
"result.135",112597496,67247,75,2,702,0,0
"result.136",112307046,173471,178,3,835,0,0
