"","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"result.1",158374671,312982,6248,179,5651,0,0
"result.2",100147861,37286,18,13,674,0,0
"result.3",116900714,50344,75,66,985,0,0
"result.4",114399224,4629,14,4,139,0,0
"result.5",114008926,199850,335,262,883,0,0
"result.6",127795906,161298,285,218,1916,0,0
"result.7",180982124,168311,248,10,4133,0,0
"result.8",120762196,71449,65,554,1502,0,0
"result.9",117317884,84210,5,219,2449,0,0
"result.10",272824561,27730,38,0,1292,0,0
"result.11",113766038,32361,5,1,1889,0,0
"result.12",120570964,21205,0,13,740,0,0
"result.13",146045723,77224,186,0,2245,0,0
"result.14",175372863,242670,1102,7,3113,0,0
"result.15",120282354,114337,60,760,2019,0,0
"result.16",146795148,54652,3,5,1509,0,0
"result.17",159650350,188113,266,1,4384,0,0
"result.18",273026584,1637,333,0,2,0,0
"result.19",147162736,37958,51,112,978,0,0
"result.20",127909584,118706,234,131,6896,0,0
"result.21",157063074,176186,321,0,1474,0,0
"result.22",127797441,134082,689,13,1905,0,0
"result.23",180601025,10206,61,2,240,0,0
"result.24",173206592,91180,50,227,1655,0,0
"result.25",272830456,35028,919,150,1011,0,0
"result.26",127255962,115749,97,97,1446,0,0
"result.27",126843200,201,9,0,5,0,0
"result.28",113504763,1354,29,0,150,0,0
"result.29",147212977,106267,193,19,899,0,0
"result.30",147353537,13632,24,12,278,0,0
"result.31",175106053,116581,718,91,5462,0,0
"result.32",127710392,89272,147,45,2213,0,0
"result.33",273025872,18683,143,11,1065,0,0
"result.34",114046440,223785,79,26,5159,0,0
"result.35",175374275,211168,2230,45,3556,0,0
"result.36",158373181,152272,27,3,1762,0,0
"result.37",112372418,46045,7,0,1663,0,0
"result.38",146470726,145928,71,519,4095,0,0
"result.39",175018829,270762,47,167,5028,0,0
"result.40",174788109,76837,97,6,1490,0,0
"result.41",174583187,295588,204,520,3952,0,0
"result.42",127991964,310961,351,247,7376,0,0
"result.43",174583904,167761,22,56,5678,0,0
"result.44",147354242,103493,77,16,2707,0,0
"result.45",158737454,89866,26,14,2246,0,0
"result.46",112425523,48012,4,5,1252,0,0
"result.47",146078721,120044,51,50,2426,0,0
"result.48",126523791,104339,250,0,2139,0,0
"result.49",158915602,47884,349,0,759,0,0
"result.50",113846682,189460,78,43,2255,2,0
"result.51",147789031,103323,98,0,1848,0,0
"result.52",119846129,120722,321,4,2181,0,0
"result.53",158838128,213640,301,71,4585,0,0
"result.54",147633885,113019,401,28,3410,0,0
"result.55",125437216,5691,33,0,106,0,0
"result.56",175264587,593,118,0,2,0,0
"result.57",152995635,828,105,0,0,0,0
"result.58",112789899,8762,100,45,110,0,0
"result.59",123663689,65914,170,6,3149,0,0
"result.60",121145750,921,11,0,7,0,0
"result.61",175265301,104941,345,211,7664,0,0
"result.62",156872043,46961,176,180,1021,0,8
"result.63",143515102,16894,14,218,373,0,0
