Tracer,Auto OOB Proj.,Auto Vent Proj.,Auto Large Inj.,Auto Small Inj.,Auto Large Proj.,Auto Small Proj.,Manual Nonspecific Inj.,Manual Cortical Leaking Inj.,Manual Nonspecific Proj.,Manual Small Proj.,Manual Misaligned Proj.
112670853,1,0,0,0,0,0,0,0,0,0,1
113036264,1,0,0,0,0,0,0,1,0,0,1
112672974,1,0,0,0,0,0,0,0,0,0,1
158257355,0,0,1,0,0,0,1,0,1,0,0
174957972,0,0,1,0,1,0,1,0,1,0,0
180674463,0,0,1,0,0,0,0,0,0,0,0
181057754,0,0,1,0,0,0,1,0,0,0,0
158258062,0,0,1,0,0,0,0,0,0,0,0
180436360,0,0,0,0,1,0,0,0,1,0,0
180435652,0,0,0,0,1,0,0,0,1,0,0
141601779,0,0,0,1,0,0,0,0,0,1,0
126352037,0,0,0,1,0,0,0,0,0,0,0
147790181,0,0,0,1,0,0,0,0,0,0,0
277618054,0,0,0,1,0,0,0,0,0,0,0
180568155,0,0,0,0,0,1,0,0,0,1,0
146012184,0,0,0,0,0,1,0,0,0,1,0
147635309,0,0,0,0,0,0,1,0,0,0,0
175072921,0,0,0,0,0,0,1,0,0,0,0
139311530,0,0,0,0,0,0,1,0,1,0,0
120572378,0,0,0,0,0,0,1,0,0,0,0
114155923,0,0,0,0,0,0,1,0,0,0,0
146658879,0,0,0,0,0,0,1,0,0,0,0
146659588,0,0,0,0,0,0,1,0,0,0,0
127649713,0,0,0,0,0,0,1,0,0,0,0
272829745,0,0,0,0,0,0,1,0,0,0,0
126523066,0,0,0,0,0,0,1,0,0,0,0
175019536,0,0,0,0,0,0,1,0,0,0,0
158314987,0,0,0,0,0,0,1,0,0,0,0
120812686,0,0,0,0,0,0,0,1,0,0,0
114474520,0,0,0,0,0,0,0,1,0,0,0
272404772,0,0,0,0,0,0,0,1,0,0,0
126710740,0,0,0,0,0,0,0,1,0,0,0
120280191,0,0,0,0,0,0,0,1,0,0,0
127761449,0,0,0,0,0,0,0,1,0,0,0
158914182,0,0,0,0,0,0,0,1,0,0,0
120280939,0,0,0,0,0,0,0,1,0,0,0
127139568,0,0,0,0,0,0,0,1,0,0,0
272875132,0,0,0,0,0,0,0,1,0,0,0
175106769,0,0,0,0,0,0,0,1,0,0,0
638314843,0,0,0,0,0,0,0,1,0,0,0
148964212,0,0,0,0,0,0,0,0,1,0,0
267494468,0,0,0,0,0,0,0,0,1,0,0
272825299,0,0,0,0,0,0,0,0,1,0,0
100148443,0,0,0,0,0,0,0,0,0,1,0
100148554,0,0,0,0,0,0,0,0,0,1,0
112460257,0,0,0,0,0,0,0,0,0,1,0
114400640,0,0,0,0,0,0,0,0,0,1,0
120436988,0,0,0,0,0,0,0,0,0,1,0
126115436,0,0,0,0,0,0,0,0,0,1,0
127711098,0,0,0,0,0,0,0,0,0,1,0
158738894,0,0,0,0,0,0,0,0,0,1,0
180404418,0,0,0,0,0,0,0,0,0,1,0
272916202,0,0,0,0,0,0,0,0,0,1,0
272970039,0,0,0,0,0,0,0,0,0,1,0
273028004,0,0,0,0,0,0,0,0,0,1,0
100142354,0,0,0,0,0,0,0,0,0,0,1
